rank_in_dataset_backbone	is_best_for_dataset_backbone	dataset	dataset_slug	backbone	variant	hparams_id	hparams_json	stage	n_completed	n_planned	seeds_completed	mean_balanced_accuracy	std_balanced_accuracy	mean_accuracy	std_accuracy	best_run_id	best_seed	best_balanced_accuracy
1	yes	bcic_2a	bcic2a	biot	coords3d_geodesic_rbf	coords3d_geodesic_rbf_axes_n6_gain0p10	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_init_gain"":0.1}"	stage1_screen	1	1	42	0.2673611111111111	0.0	0.2673611111111111	0.0	stage1_screen_bcic2a_biot_coords3d_geodesic_rbf_axes_n6_gain0p10_s42	42	0.2673611111111111
3		bcic_2a	bcic2a	biot	coords3d_rbf	coords3d_rbf_axes_n6_gain0p10	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_init_gain"":0.1}"	stage1_screen	1	1	42	0.23958333333333334	0.0	0.23958333333333334	0.0	stage1_screen_bcic2a_biot_coords3d_rbf_axes_n6_gain0p10_s42	42	0.23958333333333334
1	yes	bcic_2a	bcic2a	cbramod	coords3d_geodesic_rbf	coords3d_geodesic_rbf_axesdiag_n4_pair64	"{""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes_diagonal"",""n_rbf"":4}}"	stage1_screen	1	1	42	0.3576388888888889	0.0	0.3576388888888889	0.0	stage1_screen_bcic2a_cbramod_coords3d_geodesic_rbf_axesdiag_n4_pair64_s42	42	0.3576388888888889
2		bcic_2a	bcic2a	cbramod	coords3d_rbf	coords3d_rbf_axesdiag_n4_pair64	"{""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes_diagonal"",""n_rbf"":4}}"	stage1_screen	1	1	42	0.3559027777777778	0.0	0.3559027777777778	0.0	stage1_screen_bcic2a_cbramod_coords3d_rbf_axesdiag_n4_pair64_s42	42	0.3559027777777778
4		bcic_2a	bcic2a	cbramod	coords3d_rbf	coords3d_rbf_axes_n6_pair64	"{""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6}}"	stage1_screen	1	1	42	0.3229166666666667	0.0	0.3229166666666667	0.0	stage1_screen_bcic2a_cbramod_coords3d_rbf_axes_n6_pair64_s42	42	0.3229166666666667
5		bcic_2a	bcic2a	cbramod	coords3d_geodesic_rbf	coords3d_geodesic_rbf_axes_n6_pair64	"{""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6}}"	stage1_screen	1	1	42	0.3177083333333333	0.0	0.3177083333333333	0.0	stage1_screen_bcic2a_cbramod_coords3d_geodesic_rbf_axes_n6_pair64_s42	42	0.3177083333333333
7		bcic_2a	bcic2a	cbramod	coords3d_geodesic_rbf	coords3d_geodesic_rbf_pair64_graph1_k4	"{""graph_depth"":1,""graph_k_neighbors"":4,""graph_sigma_scale"":1.0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6}}"	stage1_screen	1	1	42	0.3064236111111111	0.0	0.3064236111111111	0.0	stage1_screen_bcic2a_cbramod_coords3d_geodesic_rbf_pair64_graph1_k4_s42	42	0.3064236111111111
10		bcic_2a	bcic2a	cbramod	coords3d_rbf	coords3d_rbf_axes_n8_pair128	"{""graph_depth"":0,""native_pair_dim"":128,""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":8}}"	stage1_screen	1	1	42	0.2960069444444444	0.0	0.2960069444444444	0.0	stage1_screen_bcic2a_cbramod_coords3d_rbf_axes_n8_pair128_s42	42	0.2960069444444444
1	yes	bcic_2a	bcic2a	labram	coords3d_rbf	coords3d_rbf_axes_n6_residual	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_pos_mode"":""residual""}"	stage1_screen	1	1	42	0.3090277777777778	0.0	0.3090277777777778	0.0	stage1_screen_bcic2a_labram_coords3d_rbf_axes_n6_residual_s42	42	0.3090277777777778
2		bcic_2a	bcic2a	labram	coords3d_geodesic_rbf	coords3d_geodesic_rbf_axes_n6_replace	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_pos_mode"":""replace""}"	stage1_screen	1	1	42	0.28385416666666663	0.0	0.2838541666666667	0.0	stage1_screen_bcic2a_labram_coords3d_geodesic_rbf_axes_n6_replace_s42	42	0.28385416666666663
