run_id	stage	dataset	dataset_slug	backbone	variant	seed	seeds	hparams_id	hparams_json	status	balanced_accuracy	accuracy	best_val_balanced_accuracy	best_epoch	run_dir	config	job_name	notes
stage2_promote_workload_biot_coords3d_rbf_axes_n6_gain0p10_s45	stage2_promote	workload	workload	biot	coords3d_rbf	45	45	coords3d_rbf_axes_n6_gain0p10	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_init_gain"":0.1}"	completed	0.5333333333333333	0.7272727272727273	0.6133333333333333	22	results/spatial_search/runs/workload_biot_coords3d_rbf_full_seed45_same_layout_2026-05-17-1136	results/spatial_search/runs/workload_biot_coords3d_rbf_full_seed45_same_layout_2026-05-17-1136/config_resolved.yaml	stage2_promote_workload_biot_coords3d_rbf_axes_n6_gain0p10_s45	completed_not_in_manifest; promoted_from=stage1_screen_workload_biot_coords3d_rbf_axes_n6_gain0p10_s42
stage2_promote_workload_biot_coords3d_rbf_axes_n6_gain0p10_s46	stage2_promote	workload	workload	biot	coords3d_rbf	46	46	coords3d_rbf_axes_n6_gain0p10	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_init_gain"":0.1}"	completed	0.5241666666666667	0.72	0.62	14	results/spatial_search/runs/workload_biot_coords3d_rbf_full_seed46_same_layout_2026-05-17-1138	results/spatial_search/runs/workload_biot_coords3d_rbf_full_seed46_same_layout_2026-05-17-1138/config_resolved.yaml	stage2_promote_workload_biot_coords3d_rbf_axes_n6_gain0p10_s46	completed_not_in_manifest; promoted_from=stage1_screen_workload_biot_coords3d_rbf_axes_n6_gain0p10_s42
stage2_promote_workload_cbramod_coords3d_rbf_axes_n6_pair64_s43	stage2_promote	workload	workload	cbramod	coords3d_rbf	43	43	coords3d_rbf_axes_n6_pair64	"{""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6}}"	completed	0.5308333333333334	0.43272727272727274	0.6822222222222222	40	results/spatial_search/runs/workload_cbramod_coords3d_rbf_full_seed43_same_layout_2026-05-17-1141	results/spatial_search/runs/workload_cbramod_coords3d_rbf_full_seed43_same_layout_2026-05-17-1141/config_resolved.yaml	stage2_promote_workload_cbramod_coords3d_rbf_axes_n6_pair64_s43	completed_not_in_manifest; promoted_from=stage1_screen_workload_cbramod_coords3d_rbf_axes_n6_pair64_s42
stage2_promote_workload_cbramod_coords3d_rbf_axes_n6_pair64_s44	stage2_promote	workload	workload	cbramod	coords3d_rbf	44	44	coords3d_rbf_axes_n6_pair64	"{""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6}}"	completed	0.5516666666666666	0.4690909090909091	0.6733333333333333	21	results/spatial_search/runs/workload_cbramod_coords3d_rbf_full_seed44_same_layout_2026-05-17-1144	results/spatial_search/runs/workload_cbramod_coords3d_rbf_full_seed44_same_layout_2026-05-17-1144/config_resolved.yaml	stage2_promote_workload_cbramod_coords3d_rbf_axes_n6_pair64_s44	completed_not_in_manifest; promoted_from=stage1_screen_workload_cbramod_coords3d_rbf_axes_n6_pair64_s42
stage2_promote_workload_cbramod_coords3d_rbf_axes_n6_pair64_s45	stage2_promote	workload	workload	cbramod	coords3d_rbf	45	45	coords3d_rbf_axes_n6_pair64	"{""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6}}"	completed	0.5291666666666667	0.43636363636363634	0.7066666666666667	49	results/spatial_search/runs/workload_cbramod_coords3d_rbf_full_seed45_same_layout_2026-05-17-1146	results/spatial_search/runs/workload_cbramod_coords3d_rbf_full_seed45_same_layout_2026-05-17-1146/config_resolved.yaml	stage2_promote_workload_cbramod_coords3d_rbf_axes_n6_pair64_s45	completed_not_in_manifest; promoted_from=stage1_screen_workload_cbramod_coords3d_rbf_axes_n6_pair64_s42
stage2_promote_workload_cbramod_coords3d_rbf_axes_n6_pair64_s46	stage2_promote	workload	workload	cbramod	coords3d_rbf	46	46	coords3d_rbf_axes_n6_pair64	"{""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6}}"	completed	0.5583333333333333	0.6181818181818182	0.7355555555555555	13	results/spatial_search/runs/workload_cbramod_coords3d_rbf_full_seed46_same_layout_2026-05-17-1149	results/spatial_search/runs/workload_cbramod_coords3d_rbf_full_seed46_same_layout_2026-05-17-1149/config_resolved.yaml	stage2_promote_workload_cbramod_coords3d_rbf_axes_n6_pair64_s46	completed_not_in_manifest; promoted_from=stage1_screen_workload_cbramod_coords3d_rbf_axes_n6_pair64_s42
stage2_promote_workload_labram_coords3d_rbf_axes_n6_residual_s43	stage2_promote	workload	workload	labram	coords3d_rbf	43	43	coords3d_rbf_axes_n6_residual	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_pos_mode"":""residual""}"	completed	0.5725	0.6872727272727273	0.5844444444444444	9	results/spatial_search/runs/workload_labram_coords3d_rbf_full_seed43_same_layout_2026-05-17-1130	results/spatial_search/runs/workload_labram_coords3d_rbf_full_seed43_same_layout_2026-05-17-1130/config_resolved.yaml	stage2_promote_workload_labram_coords3d_rbf_axes_n6_residual_s43	completed_not_in_manifest; promoted_from=stage1_screen_workload_labram_coords3d_rbf_axes_n6_residual_s42
stage2_promote_workload_labram_coords3d_rbf_axes_n6_residual_s44	stage2_promote	workload	workload	labram	coords3d_rbf	44	44	coords3d_rbf_axes_n6_residual	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_pos_mode"":""residual""}"	completed	0.5466666666666666	0.6254545454545455	0.6088888888888889	5	results/spatial_search/runs/workload_labram_coords3d_rbf_full_seed44_same_layout_2026-05-17-1132	results/spatial_search/runs/workload_labram_coords3d_rbf_full_seed44_same_layout_2026-05-17-1132/config_resolved.yaml	stage2_promote_workload_labram_coords3d_rbf_axes_n6_residual_s44	completed_not_in_manifest; promoted_from=stage1_screen_workload_labram_coords3d_rbf_axes_n6_residual_s42
stage2_promote_workload_labram_coords3d_rbf_axes_n6_residual_s45	stage2_promote	workload	workload	labram	coords3d_rbf	45	45	coords3d_rbf_axes_n6_residual	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_pos_mode"":""residual""}"	completed	0.5700000000000001	0.6654545454545454	0.6488888888888888	21	results/spatial_search/runs/workload_labram_coords3d_rbf_full_seed45_same_layout_2026-05-17-1134	results/spatial_search/runs/workload_labram_coords3d_rbf_full_seed45_same_layout_2026-05-17-1134/config_resolved.yaml	stage2_promote_workload_labram_coords3d_rbf_axes_n6_residual_s45	completed_not_in_manifest; promoted_from=stage1_screen_workload_labram_coords3d_rbf_axes_n6_residual_s42
stage2_promote_workload_labram_coords3d_rbf_axes_n6_residual_s46	stage2_promote	workload	workload	labram	coords3d_rbf	46	46	coords3d_rbf_axes_n6_residual	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_pos_mode"":""residual""}"	completed	0.59	0.5854545454545454	0.64	7	results/spatial_search/runs/workload_labram_coords3d_rbf_full_seed46_same_layout_2026-05-17-1137	results/spatial_search/runs/workload_labram_coords3d_rbf_full_seed46_same_layout_2026-05-17-1137/config_resolved.yaml	stage2_promote_workload_labram_coords3d_rbf_axes_n6_residual_s46	completed_not_in_manifest; promoted_from=stage1_screen_workload_labram_coords3d_rbf_axes_n6_residual_s42
