rank_in_dataset_backbone	is_best_for_dataset_backbone	dataset	dataset_slug	backbone	variant	hparams_id	hparams_json	stage	n_completed	n_planned	seeds_completed	mean_balanced_accuracy	std_balanced_accuracy	mean_accuracy	std_accuracy	best_run_id	best_seed	best_balanced_accuracy
		motor_mv_img	motor_mv_img	cbramod	coords3d_rbf	coords3d_rbf_axes_n8_pair128_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":0,""native_pair_dim"":128,""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":8}}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d	coords3d_pair32_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":0,""native_pair_dim"":32}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d	coords3d_pair64_graph1_k4_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":1,""graph_k_neighbors"":4,""graph_sigma_scale"":1.0,""native_pair_dim"":64}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d	coords3d_pair64_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":0,""native_pair_dim"":64}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d_distbias	coords3d_distbias_pair128_scale0p05_n12_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""dist_bias_scale"":0.05,""graph_depth"":0,""native_pair_dim"":128,""spatial_embedding_kwargs"":{""n_rbf"":12}}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d_distbias	coords3d_distbias_pair64_scale0p02_n8_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""dist_bias_scale"":0.02,""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""n_rbf"":8}}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d_distbias	coords3d_distbias_pair64_scale0p05_n8_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""dist_bias_scale"":0.05,""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""n_rbf"":8}}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d_geodesic_rbf	coords3d_geodesic_rbf_axes_n6_pair64_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6}}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d_geodesic_rbf	coords3d_geodesic_rbf_axesdiag_n4_pair64_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes_diagonal"",""n_rbf"":4}}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d_geodesic_rbf	coords3d_geodesic_rbf_pair64_graph1_k4_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":1,""graph_k_neighbors"":4,""graph_sigma_scale"":1.0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6}}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d_rbf	coords3d_rbf_axes_n6_pair64_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6}}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d_rbf	coords3d_rbf_axes_n8_pair128_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":0,""native_pair_dim"":128,""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":8}}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d_rbf	coords3d_rbf_axesdiag_n4_pair64_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes_diagonal"",""n_rbf"":4}}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d_reference	coords3d_reference_pair128_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":0,""native_pair_dim"":128}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d_reference	coords3d_reference_pair64_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":0,""native_pair_dim"":64}"	stage1_screen	0	1								
