model,n_completed,mean_test_at_best_eval_bacc,std_test_at_best_eval_bacc,mean_best_test_bacc,std_best_test_bacc,paper_target_bacc,delta_mean_vs_paper_bacc
biot,5,31.439999999999998,3.5641268215370774,37.58,1.6146206984923757,28.11,3.3299999999999983
cbramod,5,29.580000000000002,3.648561360317242,30.060000000000002,3.1556298895783073,33.71,-4.129999999999999
labram,5,31.98,1.765502761255278,33.660000000000004,2.1778429695457855,29.03,2.9499999999999993
